,ndcgpc,diffpc,Eucpc,reldiffpc,nodes_real,nodes_pc,ndcgpriv,diffpriv,Eucpriv,reldiffpriv,nodessimpriv,nodes_priv
209,1.0,56.0,49.49747468305833,0.31194690265486724,819.0,861.0,1.0,26.0,21.587033144922902,0.20512010113780027,0.9682539682539683,793.0
210,1.0,47.0,41.43669871020132,0.2661188369152971,819.0,772.0,1.0,31.0,30.01666203960727,0.0736409608091024,0.9645909645909646,848.0
211,1.0,51.0,45.39823785126467,0.2711757269279393,819.0,768.0,1.0,31.0,30.01666203960727,0.0736409608091024,0.9621489621489622,850.0
212,1.0,17.0,14.317821063276353,0.12484197218710492,819.0,836.0,1.0,32.0,24.698178070456937,0.3505056890012642,0.9829059829059829,833.0
213,1.0,51.0,49.040799340956916,0.1333754740834387,819.0,772.0,1.0,27.0,22.561028345356956,0.20638432364096082,0.967032967032967,792.0
214,1.0,26.0,25.019992006393608,0.06731984829329962,819.0,843.0,1.0,75.0,64.13267497929586,0.5082174462705435,0.9377289377289377,768.0
215,1.0,10.0,7.615773105863909,0.25379266750948165,819.0,815.0,1.0,41.0,38.118237105091836,0.15518331226295828,0.9499389499389499,860.0
216,1.0,3.0,2.23606797749979,0.03824273072060683,819.0,820.0,1.0,14.0,10.295630140987,0.18994943109987358,0.9829059829059829,833.0
217,1.0,12.0,9.486832980505138,0.11852085967130215,819.0,807.0,1.0,12.0,12.0,0.015170670037926675,0.9853479853479854,831.0
218,1.0,39.0,36.124783736376884,0.15265486725663716,819.0,858.0,1.0,12.0,11.045361017187261,0.049620733249051835,0.9853479853479854,831.0
219,1.0,8.0,7.0710678118654755,0.044563843236409606,819.0,825.0,1.0,9.0,8.06225774829855,0.28697850821744625,0.9914529914529915,812.0
220,1.0,18.0,15.297058540778355,0.1261061946902655,819.0,807.0,1.0,55.0,49.36598018878993,0.27623261694058154,0.9474969474969475,862.0
221,1.0,26.0,24.08318915758459,0.10176991150442477,819.0,845.0,1.0,48.0,45.09988913511872,0.16403286978508216,0.9487179487179487,861.0
222,1.0,18.0,13.038404810405298,0.2639064475347661,819.0,801.0,1.0,29.0,27.073972741361768,0.10556257901390645,0.9645909645909646,790.0
223,1.0,20.0,17.26267650163207,0.1286346396965866,819.0,799.0,1.0,12.0,10.198039027185569,0.35967130214917825,0.9902319902319903,811.0
224,1.0,48.0,40.024992192379,0.37073324905183314,819.0,849.0,1.0,5.0,3.605551275463989,0.07522123893805309,0.9938949938949939,814.0
225,1.0,10.0,7.0710678118654755,0.18489254108723135,819.0,819.0,1.0,10.0,8.246211251235321,0.2882427307206068,0.9926739926739927,825.0
226,1.0,34.0,29.427877939124322,0.2152338811630847,819.0,795.0,1.0,5.0,3.605551275463989,0.07522123893805309,0.9987789987789988,818.0
227,1.0,17.0,12.529964086141668,0.22819216182048038,819.0,814.0,1.0,8.0,5.830951894845301,0.11346396965865992,0.9902319902319903,811.0
228,1.0,57.0,55.036351623268054,0.14096080910240202,819.0,876.0,1.0,34.0,32.0624390837628,0.11188369152970923,0.9633699633699634,849.0
229,1.0,5.0,3.605551275463989,0.07522123893805309,819.0,818.0,1.0,4.0,4.0,0.0050568900126422255,0.9951159951159951,815.0
230,1.0,17.0,12.206555615733702,0.36599241466498106,819.0,822.0,1.0,39.0,33.54101966249684,0.25600505689001263,0.967032967032967,846.0
231,1.0,25.0,22.20360331117452,0.13495575221238937,819.0,794.0,1.0,12.0,8.602325267042627,0.18742098609355246,0.9853479853479854,807.0
232,1.0,27.0,23.345235059857504,0.17193426042983564,819.0,838.0,1.0,37.0,30.805843601498726,0.2879266750948167,0.9719169719169719,842.0
233,1.0,12.0,12.0,0.015170670037926675,819.0,807.0,1.0,52.0,43.93176527297759,0.3757901390644754,0.9584859584859585,853.0
234,1.0,18.0,13.416407864998739,0.22945638432364096,819.0,825.0,1.0,17.0,14.317821063276353,0.12484197218710492,0.9865689865689866,830.0
235,1.0,40.0,35.35533905932738,0.22281921618204803,819.0,789.0,1.0,5.0,3.605551275463989,0.10967130214917825,0.9987789987789988,818.0
236,1.0,9.0,6.708203932499369,0.11472819216182048,819.0,822.0,1.0,18.0,12.806248474865697,0.29835651074589126,0.978021978021978,801.0
237,1.0,74.0,69.18092222571191,0.26580278128950696,819.0,755.0,1.0,22.0,17.72004514666935,0.20006321112515804,0.9731379731379731,797.0
238,1.0,19.0,18.027756377319946,0.05847029077117573,819.0,838.0,1.0,15.0,14.035668847618199,0.0534134007585335,0.9841269841269842,832.0
239,1.0,37.0,27.730849247724095,0.46017699115044247,819.0,856.0,1.0,5.0,5.0,0.006321112515802781,0.9938949938949939,814.0
240,1.0,9.0,9.0,0.011378002528445006,819.0,828.0,1.0,8.0,8.0,0.010113780025284451,0.9902319902319903,811.0
241,1.0,16.0,11.661903789690601,0.22692793931731983,819.0,835.0,1.0,14.0,14.0,0.017699115044247787,0.9829059829059829,805.0
242,1.0,16.0,12.083045973594572,0.19247787610619468,819.0,813.0,1.0,49.0,42.579337712087536,0.30309734513274333,0.9572649572649573,784.0
243,1.0,5.0,5.0,0.17857142857142858,819.0,814.0,1.0,12.0,11.045361017187261,0.049620733249051835,0.9853479853479854,807.0
244,1.0,26.0,22.360679774997898,0.7907711757269279,819.0,837.0,1.0,31.0,21.93171219946131,0.5559418457648546,0.9987789987789988,818.0
245,1.0,7.0,7.0,0.008849557522123894,819.0,812.0,1.0,34.0,30.265491900843113,0.18078381795195952,0.9682539682539683,793.0
246,1.0,39.0,37.05401462729781,0.11820480404551201,819.0,858.0,1.0,26.0,23.194827009486403,0.13621997471554992,0.9682539682539683,845.0
247,1.0,10.0,10.0,0.012642225031605562,819.0,809.0,1.0,0.0,0.0,0.0,1.0,819.0
248,1.0,23.0,22.02271554554524,0.06352718078381794,819.0,798.0,1.0,32.0,30.066592756745816,0.10935524652338811,0.960927960927961,851.0
249,1.0,25.0,22.20360331117452,0.13495575221238937,819.0,800.0,1.0,27.0,21.18962010041709,0.2752844500632111,0.967032967032967,846.0
250,1.0,24.0,17.4928556845359,0.3403919089759798,819.0,795.0,1.0,9.0,6.708203932499369,0.21807838179519595,0.9963369963369964,816.0
251,1.0,65.0,55.10898293381942,0.4611251580278129,819.0,776.0,1.0,20.0,18.110770276274835,0.09418457648546144,0.9755799755799756,839.0
252,1.0,21.0,15.264337522473747,0.3021491782553729,819.0,798.0,1.0,45.0,39.45883931389772,0.263590391908976,0.945054945054945,774.0
253,1.0,34.0,25.059928172283335,0.45638432364096077,819.0,809.0,1.0,13.0,9.433981132056603,0.18868520859671303,0.9963369963369964,816.0
254,1.0,46.0,41.30375285612676,0.2304045512010114,819.0,773.0,1.0,9.0,8.06225774829855,0.04582806573957016,0.9914529914529915,812.0
255,1.0,38.0,36.05551275463989,0.11694058154235146,819.0,781.0,1.0,15.0,13.152946437965905,0.08786346396965866,0.9865689865689866,830.0
256,1.0,34.0,26.0,0.3874841972187105,819.0,853.0,1.0,9.0,8.06225774829855,0.04582806573957016,0.9914529914529915,812.0
257,1.0,13.0,11.180339887498949,0.39538558786346395,819.0,806.0,1.0,27.0,27.0,0.03413400758533502,0.967032967032967,792.0
258,1.0,31.0,28.160255680657446,0.14254108723135273,819.0,788.0,1.0,24.0,21.213203435596427,0.13369152970922882,0.978021978021978,801.0
259,1.0,75.0,65.76473218982953,0.4393173198482933,819.0,764.0,1.0,12.0,8.48528137423857,0.2218710493046776,1.0,819.0
260,1.0,12.0,8.602325267042627,0.2563211125158028,819.0,817.0,1.0,1.0,1.0,0.03571428571428571,0.9987789987789988,820.0
261,1.0,42.0,36.49657518178932,0.2597977243994943,819.0,777.0,1.0,43.0,37.48332962798263,0.26106194690265483,0.9621489621489622,788.0
262,1.0,23.0,20.223748416156685,0.13242730720606827,819.0,796.0,1.0,30.0,22.847319317591726,0.3479772439949431,0.9633699633699634,789.0
263,1.0,3.0,2.23606797749979,0.07269279393173197,819.0,818.0,1.0,18.0,13.92838827718412,0.1950063211125158,0.9902319902319903,811.0
264,1.0,49.0,44.28317965096906,0.23419721871049304,819.0,868.0,1.0,25.0,22.20360331117452,0.13495575221238937,0.9768009768009768,800.0
265,1.0,19.0,17.11724276862369,0.09292035398230088,819.0,804.0,1.0,30.0,30.0,0.03792667509481669,0.9633699633699634,789.0
266,1.0,20.0,17.26267650163207,0.1286346396965866,819.0,833.0,1.0,24.0,17.88854381999832,0.5815423514538558,0.9902319902319903,827.0
267,1.0,15.0,15.0,0.018963337547408345,819.0,834.0,1.0,27.0,23.345235059857504,0.17193426042983564,0.9768009768009768,800.0
268,1.0,13.0,10.44030650891055,0.1197850821744627,819.0,812.0,1.0,18.0,18.0,0.022756005056890013,0.978021978021978,801.0
269,1.0,14.0,10.770329614269007,0.1554993678887484,819.0,805.0,1.0,28.0,20.591260281974,0.37989886219974717,0.9902319902319903,811.0
270,1.0,7.0,5.0,0.11219974715549937,819.0,826.0,1.0,29.0,22.47220505424423,0.31226295828065737,0.9645909645909646,848.0
271,1.0,46.0,45.0111097397076,0.09260429835651074,819.0,863.0,1.0,14.0,11.40175425099138,0.12104930467762326,0.9902319902319903,811.0
272,1.0,22.0,17.72004514666935,0.20006321112515804,819.0,807.0,1.0,26.0,24.08318915758459,0.10176991150442477,0.9731379731379731,797.0
273,1.0,54.0,50.15974481593781,0.20606826801517064,819.0,873.0,1.0,6.0,5.0990195135927845,0.04203539823008849,0.9951159951159951,823.0
